ID,parking,renovation,price,time_metro,total_area,house,rooms,combined_bath,separated_bath,passenger_elevator,freight_elevator,windows_to_the_courtyard,windows_to_the_street,windows_facing_the_street_and_yard,loggia,balcony_new,children_allowed,pets_allowed,distance_to_moscow
274666538,0,0,50000.0,9.0,55.0,0,2.0,0,1,2,0,1,0,0,0,1,1,1,15.85135117523919
273717472,0,1,55000.0,8.5,52.0,0,2.0,0,1,1,1,0,1,0,0,1,1,0,16.507474329371778
273853431,0,0,59000.0,9.0,57.0,0,2.0,0,1,2,0,1,0,0,1,0,1,0,15.85135117523919
274698025,0,1,60000.0,8.5,55.0,0,2.0,0,1,1,1,0,1,0,0,1,1,0,16.507474329371778
270726307,0,1,60000.0,8.5,75.0,1,3.0,0,2,4,0,0,1,0,1,1,1,0,16.507474329371778
274420729,0,0,60000.0,9.0,75.0,0,3.0,0,1,2,0,0,0,1,1,0,1,0,15.85135117523919
273904179,0,1,65000.0,9.0,75.0,0,3.0,0,1,2,0,1,0,0,1,0,1,0,15.85135117523919
274402003,0,1,65000.0,8.5,75.0,0,3.0,1,1,1,1,1,0,0,0,1,1,0,16.507474329371778
274358293,0,1,67000.0,9.0,75.0,0,3.0,0,1,1,1,0,0,1,0,1,1,1,15.85135117523919
274930899,0,1,79300.0,8.5,74.6,0,3.0,0,1,2,0,1,0,0,0,1,1,1,16.507474329371778
266931860,0,1,80000.0,8.5,40.0,1,1.0,1,0,1,1,0,1,0,1,0,1,0,16.507474329371778
268707138,0,0,29500.0,9.0,38.0,0,1.0,1,0,2,0,0,1,0,1,0,1,0,15.85135117523919
273958042,0,0,30000.0,9.0,35.0,0,1.0,0,1,2,0,1,0,0,1,0,1,1,15.85135117523919
274380324,0,0,30000.0,8.5,40.0,1,1.0,0,1,4,0,1,0,0,0,1,1,0,16.507474329371778
273776297,0,0,32000.0,8.5,41.0,0,1.0,0,1,2,0,0,1,0,1,0,1,1,16.507474329371778
273783467,0,0,32000.0,9.0,32.0,0,1.0,1,0,2,0,1,0,0,0,0,0,0,15.85135117523919
261382060,0,0,32000.0,8.5,40.0,0,1.0,0,1,2,0,1,0,0,1,0,0,0,16.507474329371778
273511956,0,0,32000.0,9.0,40.0,1,1.0,1,0,4,0,1,0,0,1,0,1,0,15.85135117523919
274961866,0,0,33000.0,8.5,40.0,0,1.0,1,0,1,1,1,0,0,1,1,1,1,16.507474329371778
273709948,0,0,34000.0,8.5,38.0,1,1.0,1,0,2,2,1,0,0,0,1,0,0,16.507474329371778
233306711,0,0,35000.0,8.5,42.0,0,1.0,0,1,1,1,1,0,0,0,0,1,0,16.507474329371778
274848951,0,0,35000.0,8.5,38.0,0,1.0,1,0,2,0,1,0,0,0,0,0,0,16.507474329371778
273795257,0,1,36000.0,8.5,39.0,0,1.0,1,0,1,1,1,0,0,1,0,1,0,16.507474329371778
274858714,0,1,38000.0,8.5,53.0,0,2.0,0,1,2,0,1,0,0,0,1,1,1,16.507474329371778
274771264,0,1,40000.0,8.5,59.0,0,2.0,0,1,2,0,1,0,0,1,0,1,1,16.507474329371778
273383381,0,0,45000.0,9.0,55.0,0,2.0,0,1,2,0,1,0,0,0,1,1,1,15.85135117523919
269244957,0,2,45000.0,8.5,55.0,0,2.0,0,1,2,0,0,1,0,0,1,1,0,16.507474329371778
274931540,0,2,47000.0,8.5,38.0,0,1.0,1,0,1,1,1,0,0,1,0,0,0,16.507474329371778
273123737,1,0,60000.0,9.0,50.0,1,2.0,0,1,0,0,0,1,0,0,1,1,0,15.85135117523919
273601271,0,0,67000.0,9.0,75.0,0,3.0,0,2,1,1,0,0,1,0,1,0,0,15.85135117523919
273486601,0,1,68000.0,9.0,78.0,0,3.0,0,1,3,0,0,0,1,0,1,1,0,15.85135117523919
274876563,0,2,70000.0,8.5,80.4,0,3.0,0,1,2,0,1,0,0,2,0,1,0,16.507474329371778
